1.62984,0.866025,2934.88,602.578
4.8959,0.866025,2519.84,625.106
8.16293,0.866025,3160.63,673.957
11.4305,0.866025,3138.68,691.571
14.6985,0.866025,3115.5,695.206
17.9668,0.866025,3170.97,703.309
21.2354,0.866025,3020.77,700.053
24.5042,0.866025,3153.27,702.303
27.7732,0.866025,1707.55,444.089
31.0423,0.866025,3251.6,688.722
34.3116,0.866025,3200.16,714.316
37.081,0.57735,2473.88,808.236
39.3505,0.57735,2630.64,805.705
41.6201,0.57735,2476.16,751.294
43.8898,0.57735,2675.03,752.562
46.1596,0.57735,2946.76,809.63
48.4294,0.57735,2494.1,695.73
50.6993,0.57735,2748.99,732.816
52.9692,0.57735,3534.56,879.449
55.2392,0.57735,3746.3,960.278
57.5093,0.57735,5663.77,1559.61
59.7794,0.57735,3698.12,1648.83
62.0496,0.57735,1214.71,1165.11
64.3198,0.57735,1474.61,1246.7
66.5901,0.57735,1475.48,1465.3
68.8604,0.57735,909.46,875.146
71.1308,0.57735,1810.54,1738.46
73.4012,0.57735,1436.29,1363.14
75.6716,0.57735,1311,1334.69
77.9421,0.57735,1832.06,2180.08
80.2127,0.57735,2249.31,2174.65
82.4833,0.57735,2237.7,2213.28
