900,00	73,76
899,00	74,87
898,00	73,38
897,00	74,71
896,00	75,92
895,00	74,44
894,00	73,50
893,00	74,53
892,00	75,22
891,00	74,95
890,00	74,07
889,00	74,89
888,00	74,68
887,00	74,05
886,00	73,80
885,00	73,76
884,00	73,85
883,00	74,25
882,00	74,00
881,00	73,64
880,00	73,88
879,00	73,69
878,00	74,13
877,00	74,25
876,00	74,33
875,00	74,16
874,00	74,00
873,00	74,19
872,00	73,92
871,00	73,81
870,00	74,17
869,00	73,95
868,00	73,86
867,00	73,46
866,00	73,77
865,00	73,92
864,00	73,87
863,00	74,09
862,00	73,86
861,00	73,73
860,00	73,87
859,00	73,79
858,00	73,95
857,00	73,92
856,00	73,80
855,00	74,23
854,00	74,52
853,00	74,66
852,00	74,66
851,00	74,53
850,00	74,43
849,00	74,68
848,00	74,69
847,00	74,56
846,00	74,58
845,00	74,59
844,00	74,51
843,00	74,65
842,00	74,74
841,00	74,63
840,00	74,72
839,00	74,76
838,00	74,85
837,00	74,92
836,00	74,79
835,00	74,67
834,00	74,72
833,00	74,70
832,00	74,70
831,00	74,71
830,00	74,70
829,00	74,76
828,00	74,75
827,00	74,65
826,00	74,75
825,00	74,65
824,00	74,78
823,00	74,70
822,00	74,70
821,00	74,78
820,00	74,74
819,00	74,75
818,00	74,79
817,00	74,70
816,00	74,82
815,00	74,73
814,00	74,74
813,00	74,69
812,00	74,65
811,00	74,62
810,00	74,69
809,00	74,78
808,00	74,85
807,00	74,79
806,00	74,79
805,00	74,80
804,00	74,78
803,00	74,75
802,00	74,69
801,00	74,76
800,00	74,85
799,00	74,85
798,00	74,84
797,00	74,89
796,00	74,89
795,00	74,90
794,00	74,90
793,00	75,04
792,00	75,00
791,00	75,04
790,00	74,98
789,00	74,98
788,00	75,04
787,00	75,07
786,00	75,07
785,00	75,06
784,00	75,06
783,00	75,02
782,00	75,07
781,00	75,03
780,00	75,07
779,00	75,16
778,00	75,06
777,00	75,18
776,00	75,22
775,00	75,24
774,00	75,30
773,00	75,27
772,00	75,27
771,00	75,27
770,00	75,29
769,00	75,28
768,00	75,23
767,00	75,22
766,00	75,27
765,00	75,26
764,00	75,28
763,00	75,29
762,00	75,27
761,00	75,31
760,00	75,35
759,00	75,31
758,00	75,32
757,00	75,36
756,00	75,51
755,00	75,46
754,00	75,53
753,00	75,68
752,00	75,67
751,00	75,62
750,00	75,56
749,00	75,57
748,00	75,60
747,00	75,59
746,00	75,54
745,00	75,58
744,00	75,72
743,00	75,62
742,00	75,72
741,00	75,51
740,00	75,62
739,00	75,57
738,00	75,52
737,00	75,59
736,00	75,52
735,00	75,44
734,00	75,36
733,00	75,49
732,00	75,46
731,00	75,40
730,00	75,36
729,00	75,51
