Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,100000
Base Time Seconds,1765318121
Base Time Fractional,.932034940
Base Time,12/09/2025 22:08:41.932034940
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
35,0.0001197744786623,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,41.9999427795410,Volt DC,100,T,2W,F,F,12/10/2025,00:26:38,.329403260
36,0.000119752381579,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,41.9999465942383,Volt DC,100,T,2W,F,F,12/10/2025,00:26:38,.412123760
37,0.0001197593592224,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,41.9999351501465,Volt DC,100,T,2W,F,F,12/10/2025,00:26:38,.494868980
38,0.0001197273086291,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,41.9999847412109,Volt DC,100,T,2W,F,F,12/10/2025,00:26:38,.577559300
39,0.0001198603931698,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,41.9999656677246,Volt DC,100,T,2W,F,F,12/10/2025,00:26:38,.660259280
40,0.0001197457822855,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,41.9999847412109,Volt DC,100,T,2W,F,F,12/10/2025,00:26:38,.742969820
41,0.0001198772661155,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,41.9999275207520,Volt DC,100,T,2W,F,F,12/10/2025,00:26:38,.825640820
42,0.0001197521924041,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,41.9999961853027,Volt DC,100,T,2W,F,F,12/10/2025,00:26:38,.908323480
43,0.0001197182573378,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,41.9999618530273,Volt DC,100,T,2W,F,F,12/10/2025,00:26:38,.991040560
44,0.0001198480313178,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,41.9999694824219,Volt DC,100,T,2W,F,F,12/10/2025,00:26:39,.073732300
45,0.0001198276586365,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,41.9999656677246,Volt DC,100,T,2W,F,F,12/10/2025,00:26:39,.156437760
46,0.0001197422825499,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,41.9999771118164,Volt DC,100,T,2W,F,F,12/10/2025,00:26:39,.239127460
47,0.0001196205339511,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,41.9998817443848,Volt DC,100,T,2W,F,F,12/10/2025,00:26:39,.321805760
48,0.0001197795281769,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,41.9999122619629,Volt DC,100,T,2W,F,F,12/10/2025,00:26:39,.404511580
49,0.0001197566234623,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,41.9999465942383,Volt DC,100,T,2W,F,F,12/10/2025,00:26:39,.487297100
50,0.0001196407465613,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,41.9999618530273,Volt DC,100,T,2W,F,F,12/10/2025,00:26:39,.570002880
51,0.0001197692254209,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,41.9999160766602,Volt DC,100,T,2W,F,F,12/10/2025,00:26:39,.652679700
52,0.0001195982476929,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,41.9999237060547,Volt DC,100,T,2W,F,F,12/10/2025,00:26:39,.736375500
53,0.0001196300509037,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,41.9999465942383,Volt DC,100,T,2W,F,F,12/10/2025,00:26:39,.819693540
54,0.000119726631965,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,41.9999122619629,Volt DC,100,T,2W,F,F,12/10/2025,00:26:39,.902396560
55,0.0001197949750349,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,41.9999351501465,Volt DC,100,T,2W,F,F,12/10/2025,00:26:39,.985084000
56,0.0001195669683511,Amp DC,.001,5.5,F,F,F,F,F,F,Front,F,Main,41.9999351501465,Volt DC,100,T,2W,F,F,12/10/2025,00:26:40,.067763620
