6.47995,3.65804,2760.79,556.98
19.6927,3.79905,2368.59,601.21
33.2489,3.85577,2956.56,657.076
46.9687,3.89311,2919.72,673.135
60.8021,3.92113,2876.83,673.888
74.7232,3.94361,2919.69,692.655
88.7161,3.96241,2754.33,693.926
102.77,3.97858,2841.89,687.616
116.876,3.99278,3116.99,752.063
131.029,4.00545,2857.9,682.34
145.224,4.01688,2745.07,689.822
157.13,2.68393,2110.18,807.912
166.734,2.68837,2188.61,795.684
176.354,2.69257,2032.35,755.393
185.987,2.69657,2125.52,769.476
195.634,2.70038,2253.93,798.43
205.294,2.70401,1833.91,667.746
214.967,2.7075,1897.55,702.551
224.651,2.71084,2187.47,757.099
234.346,2.71405,1937.61,645.345
244.052,2.71714,2108.68,676.252
253.768,2.72012,2131.97,652.931
263.495,2.723,1775.21,574.109
273.231,2.72579,1844.15,562.609
282.976,2.72848,2433.43,725.239
292.731,2.73109,2451.64,740.797
302.494,2.73363,3879.58,1357.08
312.266,2.73609,4193.11,1717.85
322.046,2.73849,2382.18,1279.92
331.834,2.74082,2545.51,2488.66
341.63,2.74309,3198.52,2789.61
351.433,2.7453,3276.38,3117.4
