6.47995,3.65804,2921.55,578.922
19.6927,3.79905,2510.98,613.204
33.2489,3.85577,3145.35,664.113
46.9687,3.89311,3123.73,686.631
60.8021,3.92113,3101.45,695.682
74.7232,3.94361,3154.38,697.381
88.7161,3.96241,2998.86,691.608
102.77,3.97858,3129,702.421
116.876,3.99278,2512.03,690.258
131.029,4.00545,3221.71,689.992
145.224,4.01688,3163.29,715.066
157.13,2.68393,2440.88,797.208
166.734,2.68837,2594.99,810.797
176.354,2.69257,2442.62,748.392
185.987,2.69657,2627.18,760.975
195.634,2.70038,2881.69,823.487
205.294,2.70401,2427.29,693.154
214.967,2.7075,2657.09,737.158
224.651,2.71084,3358.18,875.672
234.346,2.71405,3436.33,942.739
244.052,2.71714,4942.35,1523.49
253.768,2.72012,4778.79,1780.44
263.495,2.723,2622.39,1394.65
273.231,2.72579,1775.78,1522.26
282.976,2.72848,1558.02,1565.35
292.731,2.73109,954.685,1063.03
302.494,2.73363,1819,1578.51
312.266,2.73609,1614.88,1580.49
322.046,2.73849,1371.11,1319.75
331.834,2.74082,1905.21,2080.53
341.63,2.74309,2339.63,2294.61
351.433,2.7453,2367.45,2358.94
