6.4648,3.65749,2934.88,602.578
19.6475,3.7988,2519.84,625.106
33.1741,3.85553,3160.63,673.957
46.8643,3.89287,3138.68,691.571
60.668,3.92089,3115.5,695.206
74.5595,3.94337,3170.97,703.309
88.5227,3.96217,3020.77,700.053
102.547,3.97834,3153.27,702.303
116.623,3.99254,1707.55,444.089
130.747,4.00521,3251.6,688.722
144.912,4.01664,3200.16,714.316
156.788,2.68377,2473.88,808.236
166.363,2.6882,2630.64,805.705
175.953,2.6924,2476.16,751.294
185.557,2.69639,2675.03,752.562
195.175,2.7002,2946.76,809.63
204.805,2.70383,2494.1,695.73
214.448,2.70731,2748.99,732.816
224.103,2.71065,3534.56,879.449
233.768,2.71386,3746.3,960.278
243.445,2.71695,5663.77,1559.61
253.132,2.71993,3698.12,1648.83
262.828,2.72281,1214.71,1165.11
272.535,2.72559,1474.61,1246.7
282.251,2.72828,1475.48,1465.3
291.976,2.73089,909.46,875.146
301.71,2.73343,1810.54,1738.46
311.452,2.73589,1436.29,1363.14
321.202,2.73828,1311,1334.69
330.961,2.74061,1832.06,2180.08
340.727,2.74288,2249.31,2174.65
350.501,2.74509,2237.7,2213.28
